provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,astar,,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
oracle,astar,,140,True,24,24,2.1699925370216557,2.1699925370216557,1.0,0,C_hard_maze,0
oracle,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
oracle,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
oracle,astar,,152,True,24,24,2.1699925370216557,2.1699925370216557,1.0,0,C_hard_maze,0
oracle,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
oracle,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_hrm,astar,,140,True,111,111,2.449513671627208,2.1699925370216557,1.12881202577277,0,C_hard_maze,0
scalar_hrm,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_hrm,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_hrm,astar,,152,True,111,111,2.449513671627208,2.1699925370216557,1.12881202577277,0,C_hard_maze,0
scalar_hrm,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_hrm,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_onlstm,astar,,140,True,85,85,2.2242267766165877,2.1699925370216557,1.0249928230948524,0,C_hard_maze,0
scalar_onlstm,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_onlstm,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_onlstm,astar,,152,True,85,85,2.2242267766165877,2.1699925370216557,1.0249928230948524,0,C_hard_maze,0
scalar_onlstm,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
scalar_onlstm,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_unet,astar,,140,True,128,128,2.235951406695516,2.1699925370216557,1.0303958970128024,0,C_hard_maze,0
field_unet,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_unet,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_unet,astar,,152,True,128,128,2.235951406695516,2.1699925370216557,1.0303958970128024,0,C_hard_maze,0
field_unet,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_unet,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_onlstm,astar,,140,True,107,107,2.17961226506296,2.1699925370216557,1.0044330696429526,0,C_hard_maze,0
field_onlstm,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_onlstm,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_onlstm,astar,,152,True,107,107,2.17961226506296,2.1699925370216557,1.0044330696429526,0,C_hard_maze,0
field_onlstm,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_onlstm,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_hrm,astar,,140,True,117,117,2.1699925370216557,2.1699925370216557,1.0,0,C_hard_maze,0
field_hrm,focal,1.0,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_hrm,focal,1.1,140,False,140,140,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_hrm,astar,,152,True,117,117,2.1699925370216557,2.1699925370216557,1.0,0,C_hard_maze,0
field_hrm,focal,1.0,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
field_hrm,focal,1.1,152,False,152,152,nan,2.1699925370216557,nan,0,C_hard_maze,0
euclid,astar,,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
euclid,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
euclid,focal,1.1,140,True,127,127,1.7356040103282415,1.7251066080894681,1.0060850745046992,0,C_hard_maze,1
euclid,astar,,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
euclid,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
euclid,focal,1.1,152,True,127,127,1.7356040103282415,1.7251066080894681,1.0060850745046992,0,C_hard_maze,1
oracle,astar,,140,True,19,19,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
oracle,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
oracle,focal,1.1,140,True,115,115,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
oracle,astar,,152,True,19,19,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
oracle,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
oracle,focal,1.1,152,True,115,115,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_hrm,astar,,140,True,42,42,1.8281722951157924,1.7251066080894681,1.059744532044004,0,C_hard_maze,1
scalar_hrm,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_hrm,focal,1.1,140,True,113,113,1.7491265683281125,1.7251066080894681,1.0139237541181563,0,C_hard_maze,1
scalar_hrm,astar,,152,True,42,42,1.8281722951157924,1.7251066080894681,1.059744532044004,0,C_hard_maze,1
scalar_hrm,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_hrm,focal,1.1,152,True,113,113,1.7491265683281125,1.7251066080894681,1.0139237541181563,0,C_hard_maze,1
scalar_onlstm,astar,,140,True,39,39,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_onlstm,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_onlstm,focal,1.1,140,True,123,123,1.7581539463851223,1.7251066080894681,1.0191566933548841,0,C_hard_maze,1
scalar_onlstm,astar,,152,True,39,39,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_onlstm,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
scalar_onlstm,focal,1.1,152,True,123,123,1.7581539463851223,1.7251066080894681,1.0191566933548841,0,C_hard_maze,1
field_unet,astar,,140,True,72,72,1.8122634079856983,1.7251066080894681,1.0505225587146496,0,C_hard_maze,1
field_unet,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_unet,focal,1.1,140,True,113,113,1.7272650678216652,1.7251066080894681,1.001251203677544,0,C_hard_maze,1
field_unet,astar,,152,True,72,72,1.8122634079856983,1.7251066080894681,1.0505225587146496,0,C_hard_maze,1
field_unet,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_unet,focal,1.1,152,True,113,113,1.7272650678216652,1.7251066080894681,1.001251203677544,0,C_hard_maze,1
field_onlstm,astar,,140,True,68,68,1.8263134275987116,1.7251066080894681,1.0586669942800397,0,C_hard_maze,1
field_onlstm,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_onlstm,focal,1.1,140,True,113,113,1.7356040103282415,1.7251066080894681,1.0060850745046992,0,C_hard_maze,1
field_onlstm,astar,,152,True,68,68,1.8263134275987116,1.7251066080894681,1.0586669942800397,0,C_hard_maze,1
field_onlstm,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_onlstm,focal,1.1,152,True,113,113,1.7356040103282415,1.7251066080894681,1.0060850745046992,0,C_hard_maze,1
field_hrm,astar,,140,True,48,48,1.750900386959277,1.7251066080894681,1.0149519912270089,0,C_hard_maze,1
field_hrm,focal,1.0,140,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_hrm,focal,1.1,140,True,113,113,1.7272650678216652,1.7251066080894681,1.001251203677544,0,C_hard_maze,1
field_hrm,astar,,152,True,48,48,1.750900386959277,1.7251066080894681,1.0149519912270089,0,C_hard_maze,1
field_hrm,focal,1.0,152,True,129,129,1.7251066080894684,1.7251066080894681,1.0000000000000002,0,C_hard_maze,1
field_hrm,focal,1.1,152,True,113,113,1.7272650678216652,1.7251066080894681,1.001251203677544,0,C_hard_maze,1
euclid,astar,,140,True,129,129,1.7800782277385767,1.7800782277385765,1.0000000000000002,0,C_hard_maze,2
euclid,focal,1.0,140,True,129,129,1.7800782277385767,1.7800782277385765,1.0000000000000002,0,C_hard_maze,2
