provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
euclid,astar,,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
euclid,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
euclid,focal,1.1,1800,True,1491,38,38.0,1.0,1491,0,C_dyn_maze,0
euclid,astar,,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
euclid,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
euclid,focal,1.1,2500,True,1491,38,38.0,1.0,1491,0,C_dyn_maze,0
oracle,astar,,1800,True,101,38,38.0,1.0,101,0,C_dyn_maze,0
oracle,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
oracle,focal,1.1,1800,True,1543,38,38.0,1.0,1543,0,C_dyn_maze,0
oracle,astar,,2500,True,101,38,38.0,1.0,101,0,C_dyn_maze,0
oracle,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
oracle,focal,1.1,2500,True,1543,38,38.0,1.0,1543,0,C_dyn_maze,0
scalar_hrm,astar,,1800,True,464,38,38.0,1.0,464,0,C_dyn_maze,0
scalar_hrm,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_hrm,focal,1.1,1800,True,1490,38,38.0,1.0,1490,0,C_dyn_maze,0
scalar_hrm,astar,,2500,True,464,38,38.0,1.0,464,0,C_dyn_maze,0
scalar_hrm,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_hrm,focal,1.1,2500,True,1490,38,38.0,1.0,1490,0,C_dyn_maze,0
scalar_hrm_blind,astar,,1800,True,333,38,38.0,1.0,333,0,C_dyn_maze,0
scalar_hrm_blind,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_hrm_blind,focal,1.1,1800,True,1423,38,38.0,1.0,1423,0,C_dyn_maze,0
scalar_hrm_blind,astar,,2500,True,333,38,38.0,1.0,333,0,C_dyn_maze,0
scalar_hrm_blind,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_hrm_blind,focal,1.1,2500,True,1423,38,38.0,1.0,1423,0,C_dyn_maze,0
scalar_onlstm,astar,,1800,True,266,39,38.0,1.0263157894736843,266,0,C_dyn_maze,0
scalar_onlstm,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_onlstm,focal,1.1,1800,True,1485,38,38.0,1.0,1485,0,C_dyn_maze,0
scalar_onlstm,astar,,2500,True,266,39,38.0,1.0263157894736843,266,0,C_dyn_maze,0
scalar_onlstm,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_onlstm,focal,1.1,2500,True,1485,38,38.0,1.0,1485,0,C_dyn_maze,0
scalar_onlstm_blind,astar,,1800,True,183,38,38.0,1.0,183,0,C_dyn_maze,0
scalar_onlstm_blind,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_onlstm_blind,focal,1.1,1800,True,1493,39,38.0,1.0263157894736843,1493,0,C_dyn_maze,0
scalar_onlstm_blind,astar,,2500,True,183,38,38.0,1.0,183,0,C_dyn_maze,0
scalar_onlstm_blind,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
scalar_onlstm_blind,focal,1.1,2500,True,1493,39,38.0,1.0263157894736843,1493,0,C_dyn_maze,0
field_unet,astar,,1800,True,178,39,38.0,1.0263157894736843,178,0,C_dyn_maze,0
field_unet,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_unet,focal,1.1,1800,True,1240,38,38.0,1.0,1240,0,C_dyn_maze,0
field_unet,astar,,2500,True,178,39,38.0,1.0263157894736843,178,0,C_dyn_maze,0
field_unet,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_unet,focal,1.1,2500,True,1240,38,38.0,1.0,1240,0,C_dyn_maze,0
field_unet_blind,astar,,1800,True,236,40,38.0,1.0526315789473684,236,0,C_dyn_maze,0
field_unet_blind,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_unet_blind,focal,1.1,1800,True,1316,38,38.0,1.0,1316,0,C_dyn_maze,0
field_unet_blind,astar,,2500,True,236,40,38.0,1.0526315789473684,236,0,C_dyn_maze,0
field_unet_blind,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_unet_blind,focal,1.1,2500,True,1316,38,38.0,1.0,1316,0,C_dyn_maze,0
field_hrm,astar,,1800,True,307,38,38.0,1.0,307,0,C_dyn_maze,0
field_hrm,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_hrm,focal,1.1,1800,True,1315,38,38.0,1.0,1315,0,C_dyn_maze,0
field_hrm,astar,,2500,True,307,38,38.0,1.0,307,0,C_dyn_maze,0
field_hrm,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_hrm,focal,1.1,2500,True,1315,38,38.0,1.0,1315,0,C_dyn_maze,0
field_hrm_blind,astar,,1800,True,190,39,38.0,1.0263157894736843,190,0,C_dyn_maze,0
field_hrm_blind,focal,1.0,1800,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_hrm_blind,focal,1.1,1800,True,1448,38,38.0,1.0,1448,0,C_dyn_maze,0
field_hrm_blind,astar,,2500,True,190,39,38.0,1.0263157894736843,190,0,C_dyn_maze,0
field_hrm_blind,focal,1.0,2500,True,1580,38,38.0,1.0,1580,0,C_dyn_maze,0
field_hrm_blind,focal,1.1,2500,True,1448,38,38.0,1.0,1448,0,C_dyn_maze,0
euclid,astar,,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
euclid,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
euclid,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
euclid,astar,,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
euclid,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
euclid,focal,1.1,2500,True,2192,46,46.0,1.0,2192,0,C_dyn_maze,1
oracle,astar,,1800,True,47,46,46.0,1.0,47,0,C_dyn_maze,1
oracle,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
oracle,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
oracle,astar,,2500,True,47,46,46.0,1.0,47,0,C_dyn_maze,1
oracle,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
oracle,focal,1.1,2500,True,2075,46,46.0,1.0,2075,0,C_dyn_maze,1
scalar_hrm,astar,,1800,True,543,46,46.0,1.0,543,0,C_dyn_maze,1
scalar_hrm,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_hrm,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_hrm,astar,,2500,True,543,46,46.0,1.0,543,0,C_dyn_maze,1
scalar_hrm,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
scalar_hrm,focal,1.1,2500,True,2185,46,46.0,1.0,2185,0,C_dyn_maze,1
scalar_hrm_blind,astar,,1800,True,561,46,46.0,1.0,561,0,C_dyn_maze,1
scalar_hrm_blind,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_hrm_blind,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_hrm_blind,astar,,2500,True,561,46,46.0,1.0,561,0,C_dyn_maze,1
scalar_hrm_blind,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
scalar_hrm_blind,focal,1.1,2500,True,2183,46,46.0,1.0,2183,0,C_dyn_maze,1
scalar_onlstm,astar,,1800,True,764,46,46.0,1.0,764,0,C_dyn_maze,1
scalar_onlstm,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_onlstm,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_onlstm,astar,,2500,True,764,46,46.0,1.0,764,0,C_dyn_maze,1
scalar_onlstm,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
scalar_onlstm,focal,1.1,2500,True,2056,47,46.0,1.0217391304347827,2056,0,C_dyn_maze,1
scalar_onlstm_blind,astar,,1800,True,534,46,46.0,1.0,534,0,C_dyn_maze,1
scalar_onlstm_blind,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_onlstm_blind,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
scalar_onlstm_blind,astar,,2500,True,534,46,46.0,1.0,534,0,C_dyn_maze,1
scalar_onlstm_blind,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
scalar_onlstm_blind,focal,1.1,2500,True,2185,46,46.0,1.0,2185,0,C_dyn_maze,1
field_unet,astar,,1800,True,130,48,46.0,1.0434782608695652,130,0,C_dyn_maze,1
field_unet,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_unet,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_unet,astar,,2500,True,130,48,46.0,1.0434782608695652,130,0,C_dyn_maze,1
field_unet,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
field_unet,focal,1.1,2500,True,2187,46,46.0,1.0,2187,0,C_dyn_maze,1
field_unet_blind,astar,,1800,True,343,46,46.0,1.0,343,0,C_dyn_maze,1
field_unet_blind,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_unet_blind,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_unet_blind,astar,,2500,True,343,46,46.0,1.0,343,0,C_dyn_maze,1
field_unet_blind,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
field_unet_blind,focal,1.1,2500,True,2183,46,46.0,1.0,2183,0,C_dyn_maze,1
field_hrm,astar,,1800,True,556,46,46.0,1.0,556,0,C_dyn_maze,1
field_hrm,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_hrm,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_hrm,astar,,2500,True,556,46,46.0,1.0,556,0,C_dyn_maze,1
field_hrm,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
field_hrm,focal,1.1,2500,True,2310,46,46.0,1.0,2310,0,C_dyn_maze,1
field_hrm_blind,astar,,1800,True,513,47,46.0,1.0217391304347827,513,0,C_dyn_maze,1
field_hrm_blind,focal,1.0,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_hrm_blind,focal,1.1,1800,False,1800,-1,46.0,nan,1800,0,C_dyn_maze,1
field_hrm_blind,astar,,2500,True,513,47,46.0,1.0217391304347827,513,0,C_dyn_maze,1
field_hrm_blind,focal,1.0,2500,True,2320,46,46.0,1.0,2320,0,C_dyn_maze,1
